Id,Price
4567,165300.77850386463
5925,120342.28068607379
960,140156.7775584897
3848,158598.73320202957
746,172194.67398134316
868,384196.18573752843
672,102150.94221307898
2471,213279.75112348236
4510,133756.53486064242
8354,214490.11976576905
6393,180372.3432163913
13270,227599.38153141786
5250,331088.40196950646
16751,162195.45764667715
11404,143212.60868846084
10588,332385.6976122215
14925,182001.68316318066
6791,232934.05395287235
16097,230799.13072993836
16428,362189.93793206086
6945,345141.8902329573
3190,185781.44053100553
15709,468540.9914878607
13155,187540.14878316812
7675,202502.97188972004
14686,223558.71940286373
609,157573.41773892296
11155,152352.60865384655
10869,201195.6724948227
15742,183786.4068082942
9245,185177.82306823743
3340,178344.8376421488
2359,286447.6561173333
8070,202111.77925652452
13707,130184.16359956336
16079,283199.11721054954
15937,271740.9235068022
14090,176357.4976227665
9008,215425.07527317398
16384,183930.16755686875
11657,237558.72005264714
13151,159967.48506119256
8990,178036.42410631344
11857,186049.0707662481
1565,154217.67916262627
8174,113563.70863939091
9247,260919.5368280868
10478,213101.88954843476
15509,153592.13022548018
8306,175882.46300544284
6642,186137.96969476648
7472,227073.26622345523
15989,123684.14090490417
13682,125671.19302750315
163,272029.9750221601
7076,175006.21479400553
7478,338328.62974913063
3029,194388.02093834674
1814,148514.86767763842
10057,141362.05179033746
15100,200963.025485733
12694,221577.70296169908
6291,184904.52558643627
12603,186772.552059162
3218,265945.7917409225
13456,122805.06998815874
10170,231636.2797393855
4530,142655.60746359397
13329,169611.0466107237
4820,136595.5215337535
10896,172022.35072623668
13416,116442.95542087601
2701,215864.46570555517
11265,325390.70195681095
9189,389691.521765755
1858,140956.40603354722
14536,246077.4722358369
6199,227541.8050836713
14730,152258.559688334
7510,259043.58750663765
15505,153673.82539503791
7446,157743.95020686838
14016,157511.3862633692
14113,115398.81388331416
8721,287270.1672052054
6193,293286.9797379407
5717,169150.369397608
5427,321398.7951423747
9520,487805.92472826905
6869,103535.58991372077
1658,146625.73412281094
6639,217894.14394146213
6283,177370.01464579176
6257,126359.82103984841
15235,179485.0149681291
902,235542.12900209482
8932,203372.73903383597
16469,367404.2454452666
2825,293100.2836228698
6450,449612.46419934666
11366,175795.90153465513
3801,352146.4261726889
11385,188118.88106578065
1079,197632.96636335793
3202,250474.5903828872
